Barrio;Población2​
Centro;8.979
Caño Argales;7.665
Universidad;5.121
San Pablo;1.950
San Nicolás;3.830
San Miguel;4.401
La Circular;10.399
San Juan;3.637
Los Vadillos;4.335
Las Batallas;3.893
Hospital;7.448
Los Viveros;1.005
La Rondilla;17.159
Santa Clara / XXV Años de Paz;5.087
Huerta del Rey;15.653
Paseo Zorrilla;20.314
Campo Grande-Arco Ladrillo;6.802
Pajarillos;18.986
La Pilarica-Santos Pilarica;8.534
Barrio de Belén;1.907
San Pedro Regalado;2.730
Barrio España;2.615
La Victoria;14.889
Girón-Villa del Prado;8.907
Parquesol;26.086
Arturo Eyríes;4.584
Las Villas-Parque Alameda-Covaresa;22.272
La Rubia;4.168
Parque Arturo León;2.878
Cuatro de Marzo;3.565
Barriada Guardia Civil;1.366
Camino de la Esperanza;2.306
Pgno. Argales-Ciudad de la Comunicación;2.340
Las Delicias;27.538
Caamaño-Las Viudas-Pgno. San Cristóbal;15.105
Páramo San Isidro-Campo de Tiro;2.772
Las Flores;2.079
La Overuela-Fuente Berrocal;2.655
Pinar de Antequera;962
Puente Duero;1.135
TOTAL;306.830
