POBLACION;NOMBRE_BARRIO;Lon;Lat
Madrid;Palacio;40,41650;-3,70256
Madrid;Imperial;40,41650;-3,70256
Madrid;Pacifico;40,41650;-3,70256
Madrid;Recoletos;40,41650;-3,70256
Madrid;El Viso;40,41650;-3,70256
Madrid;Bellas Vistas;40,41650;-3,70256
Madrid;Gaztambide;40,41650;-3,70256
Madrid;El Pardo;40,41650;-3,70256
Madrid;Casa De Campo ;40,41650;-3,70256
Madrid;Los Carmenes;40,41650;-3,70256
Madrid;Comillas;40,41650;-3,70256
Madrid;Orcasitas ;40,41650;-3,70256
Madrid;Entrevias ;40,41650;-3,70256
Madrid;Pavones ;40,41650;-3,70256
Madrid;Ventas;40,41650;-3,70256
Madrid;Palomas ;40,41650;-3,70256
Madrid;Villaverde Alto C.H.;40,41650;-3,70256
Madrid;Casco H.Vallecas;40,41650;-3,70256
Madrid;Casco H.Vicalvaro ;40,41650;-3,70256
Madrid;Simancas;40,41650;-3,70256
Madrid;Alameda De Osuna;40,41650;-3,70256
Madrid;Embajadores ;40,41650;-3,70256
Madrid;Acacias ;40,41650;-3,70256
Madrid;Adelfas ;40,41650;-3,70256
Madrid;Goya;40,41650;-3,70256
Madrid;Prosperidad ;40,41650;-3,70256
Madrid;Cuatro Caminos;40,41650;-3,70256
Madrid;Arapiles;40,41650;-3,70256
Madrid;Fuentelarreina;40,41650;-3,70256
Madrid;Arguelles ;40,41650;-3,70256
Madrid;Puerta Del Angel;40,41650;-3,70256
Madrid;Opañel;40,41650;-3,70256
Madrid;Orcasur ;40,41650;-3,70256
Madrid;San Diego ;40,41650;-3,70256
Madrid;Horcajo ;40,41650;-3,70256
Madrid;Pueblo Nuevo;40,41650;-3,70256
Madrid;Piovera ;40,41650;-3,70256
Madrid;San Cristobal ;40,41650;-3,70256
Madrid;Santa Eugenia ;40,41650;-3,70256
Madrid;Valdebernardo ;40,41650;-3,70256
Madrid;Hellin;40,41650;-3,70256
Madrid;Aeropuerto;40,41650;-3,70256
Madrid;Cortes;40,41650;-3,70256
Madrid;Chopera ;40,41650;-3,70256
Madrid;Estrella;40,41650;-3,70256
Madrid;Fuente Del Berro;40,41650;-3,70256
Madrid;Ciudad Jardin ;40,41650;-3,70256
Madrid;Castillejos ;40,41650;-3,70256
Madrid;Trafalgar ;40,41650;-3,70256
Madrid;Peña Grande ;40,41650;-3,70256
Madrid;Ciudad Universitaria;40,41650;-3,70256
Madrid;Lucero;40,41650;-3,70256
Madrid;San Isidro;40,41650;-3,70256
Madrid;San Fermin;40,41650;-3,70256
Madrid;Palomeras Bajas ;40,41650;-3,70256
Madrid;Marroquina;40,41650;-3,70256
Madrid;Quintana;40,41650;-3,70256
Madrid;Canillas;40,41650;-3,70256
Madrid;Butarque;40,41650;-3,70256
Madrid;Ensanche De Vallecas;40,41650;-3,70256
Madrid;Valderrivas ;40,41650;-3,70256
Madrid;Amposta ;40,41650;-3,70256
Madrid;Casco H.Barajas ;40,41650;-3,70256
Madrid;Justicia;40,41650;-3,70256
Madrid;Legazpi ;40,41650;-3,70256
Madrid;Ibiza ;40,41650;-3,70256
Madrid;Guindalera;40,41650;-3,70256
Madrid;Hispanoamerica;40,41650;-3,70256
Madrid;Almenara;40,41650;-3,70256
Madrid;Almagro ;40,41650;-3,70256
Madrid;El Pilar;40,41650;-3,70256
Madrid;Valdezarza;40,41650;-3,70256
Madrid;Aluche;40,41650;-3,70256
Madrid;Vista Alegre;40,41650;-3,70256
Madrid;Almendrales ;40,41650;-3,70256
Madrid;Palomeras Sureste ;40,41650;-3,70256
Madrid;Media Legua ;40,41650;-3,70256
Madrid;Concepcion;40,41650;-3,70256
Madrid;Pinar Del Rey ;40,41650;-3,70256
Madrid;Los Rosales ;40,41650;-3,70256
Madrid;El Cañaveral;40,41650;-3,70256
Madrid;Arcos ;40,41650;-3,70256
Madrid;Timon ;40,41650;-3,70256
Madrid;Universidad ;40,41650;-3,70256
Madrid;Delicias;40,41650;-3,70256
Madrid;Los Jeronimos ;40,41650;-3,70256
Madrid;Lista ;40,41650;-3,70256
Madrid;Nueva España;40,41650;-3,70256
Madrid;Valdeacederas ;40,41650;-3,70256
Madrid;Rios Rosas;40,41650;-3,70256
Madrid;La Paz;40,41650;-3,70256
Madrid;Valdemarin;40,41650;-3,70256
Madrid;Campamento;40,41650;-3,70256
Madrid;Puerta Bonita ;40,41650;-3,70256
Madrid;Moscardo;40,41650;-3,70256
Madrid;Portazgo;40,41650;-3,70256
Madrid;Fontarron ;40,41650;-3,70256
Madrid;San Pascual ;40,41650;-3,70256
Madrid;Apostol Santiago;40,41650;-3,70256
Madrid;Los Angeles ;40,41650;-3,70256
Madrid;Rosas ;40,41650;-3,70256
Madrid;Corralejos;40,41650;-3,70256
Madrid;Sol ;40,41650;-3,70256
Madrid;Palos De Moguer ;40,41650;-3,70256
Madrid;Niño Jesus;40,41650;-3,70256
Madrid;Castellana;40,41650;-3,70256
Madrid;Castilla;40,41650;-3,70256
Madrid;Berruguete;40,41650;-3,70256
Madrid;Vallehermoso;40,41650;-3,70256
Madrid;Valverde;40,41650;-3,70256
Madrid;El Plantio;40,41650;-3,70256
Madrid;Cuatro Vientos;40,41650;-3,70256
Madrid;Buenavista;40,41650;-3,70256
Madrid;Zofio ;40,41650;-3,70256
Madrid;Numancia;40,41650;-3,70256
Madrid;Vinateros ;40,41650;-3,70256
Madrid;San Juan Bautista ;40,41650;-3,70256
Madrid;Valdefuentes;40,41650;-3,70256
Madrid;Rejas ;40,41650;-3,70256
Madrid;Atocha;40,41650;-3,70256
Madrid;Mirasierra;40,41650;-3,70256
Madrid;Aravaca ;40,41650;-3,70256
Madrid;Las Aguilas ;40,41650;-3,70256
Madrid;Abrantes;40,41650;-3,70256
Madrid;Pradolongo;40,41650;-3,70256
Madrid;Colina;40,41650;-3,70256
Madrid;Canillejas;40,41650;-3,70256
Madrid;El Goloso ;40,41650;-3,70256
Madrid;Atalaya;40,41650;-3,70256
Madrid;El Salvador;40,41650;-3,70256
Madrid;Costillares;40,41650;-3,70256
Madrid;Sol;40,41650;-3,70256
Madrid;Callao;40,41650;-3,70256
Madrid;Gran Via;40,41650;-3,70256
Madrid;Palacio;40,41650;-3,70256
Valladolid;Centro;41,65518;-4,72372
Valladolid;Caño Argales;41,65518;-4,72372
Valladolid;Universidad;41,65518;-4,72372
Valladolid;San Pablo;41,65518;-4,72372
Valladolid;San Nicolás;41,65518;-4,72372
Valladolid;San Miguel;41,65518;-4,72372
Valladolid;La Circular;41,65518;-4,72372
Valladolid;San Juan;41,65518;-4,72372
Valladolid;Los Vadillos;41,65518;-4,72372
Valladolid;Las Batallas;41,65518;-4,72372
Valladolid;Hospital;41,65518;-4,72372
Valladolid;Los Viveros;41,65518;-4,72372
Valladolid;La Rondilla;41,65518;-4,72372
Valladolid;Santa Clara / XXV Años de Paz;41,65518;-4,72372
Valladolid;Huerta del Rey;41,65518;-4,72372
Valladolid;Paseo Zorrilla;41,65518;-4,72372
Valladolid;Campo Grande-Arco Ladrillo;41,65518;-4,72372
Valladolid;Pajarillos;41,65518;-4,72372
Valladolid;La Pilarica-Santos Pilarica;41,65518;-4,72372
Valladolid;Barrio de Belén;41,65518;-4,72372
Valladolid;San Pedro Regalado;41,65518;-4,72372
Valladolid;Barrio España;41,65518;-4,72372
Valladolid;La Victoria;41,65518;-4,72372
Valladolid;Girón-Villa del Prado;41,65518;-4,72372
Valladolid;Parquesol;41,65518;-4,72372
Valladolid;Arturo Eyríes;41,65518;-4,72372
Valladolid;Las Villas-Parque Alameda-Covaresa;41,65518;-4,72372
Valladolid;La Rubia;41,65518;-4,72372
Valladolid;Parque Arturo León;41,65518;-4,72372
Valladolid;Cuatro de Marzo;41,65518;-4,72372
Valladolid;Barriada Guardia Civil;41,65518;-4,72372
Valladolid;Camino de la Esperanza;41,65518;-4,72372
Valladolid;Pgno. Argales-Ciudad de la Comunicación;41,65518;-4,72372
Valladolid;Las Delicias;41,65518;-4,72372
Valladolid;Caamaño-Las Viudas-Pgno. San Cristóbal;41,65518;-4,72372
Valladolid;Páramo San Isidro-Campo de Tiro;41,65518;-4,72372
Valladolid;Las Flores;41,65518;-4,72372
Valladolid;La Overuela-Fuente Berrocal;41,65518;-4,72372
Valladolid;Pinar de Antequera;41,65518;-4,72372
Valladolid;Puente Duero;41,65518;-4,72372
