file_name,description,documentation,chapter
a01005a,U.S. Index of Crop Production 1862-1930,"VAR 0094      01005 CROP RO 1R 862-930               MD= 1E-37
REF 0094         LOC  807 WIDTH  9             DK  13 COL 53-61
EXP DEC=  1

INDEX OF CROP PRODUCTION
------------------------

NBER SERIES:  01005
AREA COVERED:  U.S.
UNITS:  1909-1913=100
ANNUAL COVERAGE:  1862-1930
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  WARREN M. PERSONS, FORECASTING BUSINESS CYCLES,
1931, PP. 170-171.

NOTES:  SERIES 01005 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1862-1930  (2)--ORIGINAL
DATA, 1866-1950.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01005aa,"U.S. Index of Crop Producton, Twelve Important Crops 1866-1940","VAR 0096      01005A TWELVE 1R 866-940               MD= 1E-37
REF 0096         LOC  825 WIDTH  9             DK  13 COL 71-79
EXP DEC=  1

INDEX OF CROP PRODUCTON, TWELVE IMPORTANT CROPS
-----------------------------------------------

NBER SERIES:  01005A
AREA COVERED:  U.S.
UNITS:  1910-1914=100
ANNUAL COVERAGE:  1866-1940
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  U.S. DEPARTMENT OF AGRICULTURE, THE AGRICULTURAL
SITUATION, JANUARY 1935, P. 5, AND OCTOBER 1937, P. 8;
STATISTICAL ABSTRACT, SUCCESSIVE ISSUES.

NOTES:  INDEX IS BASED ON REVISED FIGURES FOR CORN, WHEAT,
OATS, BARLEY, RYE, BUCKWHEAT, FLAXSEED, POTATOES, SWEET
POTATOES, COTTON, TOBACCO, AND TAME HAY.
THE COMBINED INDEX WAS COMPUTED BY WEIGHTING THE
PRODUCTION OF EACH COMMODITY BY THE AVERAGE FARM PRICE PER
UNIT DURING THE YEARS 1910-1914.  EACH YEAR REPRESENTS  A
PERCENT OF THIS BASE PERIOD.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01005b,U.S. Index of Total Crop Production 1866-1950,"VAR 0095      01005 CROP RO 1R 866-950               MD= 1E-37
REF 0095         LOC  816 WIDTH  9             DK  13 COL 62-70
EXP DEC=  2

INDEX OF TOTAL CROP PRODUCTION
------------------------------

NBER SERIES:  01005
AREA COVERED:  U.S.
UNITS:  1926-1930=100
ANNUAL COVERAGE:  1866-1950
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  G.F. WARREN AND F.A. PEARSON, THE PHYSICAL VOLUME
OF PRODUCTION IN THE UNITED STATES, TABLE 1, P. 5.  DATA FOR
1931:  DIRECT FROM F.A. PEARSON.  DATA FOR 1932:  CORNELL
UNIVERSITY AGRICULTURAL EXPERIMENT STATION MEMOIR 144, 1932.

NOTES:  SERIES 01005 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1862-1930  (2)--ORIGINAL
DATA, 1866-1950.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01006,Great Britain Index of Crop Production 1866-1947,"VAR 0099      01006 IND ROP 1R 866-947               MD= 1E-37
REF 0099         LOC  852 WIDTH  9             DK  14 COL 35-43
EXP DEC=  1

INDEX OF CROP PRODUCTION
------------------------

NBER SERIES:  01006
AREA COVERED:  GREAT BRITIAN
UNITS:  1909-13=100
ANNUAL COVERAGE:  1866-1947
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1866-1931:  DR. LEO DRESCHER,""DIE
ENTRUICKLUNG DER AGRARPRODUKTION GROSSBRITANNIENS UND
IRLANDS SIET BEGINN DES 19 JAHRHUNDERTS"",
WELTWIRTSCHAFTLICHES ARCHIV, VOL. 41, MARCH 1935, PP.
293-294.  DATA FOR 1932-1947 WERE COMPUTED BY NBER ACCORDING
TO DRESCHER'S METHOD FROM DATA FOUND IN""AGRICULTURAL
STATISTICS"", GREAT BRITAIN.

NOTES:  DATA INCLUDE WHEAT, BARLEY, OATS, RYE, BEANS, PEAS,
POTATOES, TURNIPS, AND BEETS.  DATA FOR 1937 ON INCLUDE
TURNIPS FOR STOCKFEEDING ONLY, LITTLE DIFFERENCE EXISTS
HOWEVER, BETWEEN ALL TURNIPS AND STOCKFEED TURNIPS ONLY.

CHECKED MANUALLY; NO CORRECTIOSN NECESSARY.


",01
a01007a,U.S. Index of Manufacturing Production 1863-1930,"VAR 0253      01007 IN MANU 1A 863-830               MD= 1E-37
REF 0253         LOC 2238 WIDTH  9             DK  36 COL 35-43
EXP DEC=  1

INDEX OF MANUFACTURING PRODUCTION
---------------------------------

NBER SERIES:  01007
AREA COVERED:  U.S.
UNITS:  1909-1913=100
ANNUAL COVERAGE:  1863-1930
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  WARREN M. PERSONS, FORECASTING BUSINESS CYCLES, NEW
YORK, 1931, PP. 170-171.

NOTES:  SERIES 01007 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1863-1930  (2)--ORIGINAL
DATA, 1920-1939.

NOT CHECKED AGAINST ORIGINALS.


",01
a01007b,U.S. Index of Manufacturing Production 1920-1939,"VAR 0254      01007 IN MANU 1A 920-939               MD= 1E-37
REF 0254         LOC 2247 WIDTH  9             DK  36 COL 44-52


INDEX OF MANUFACTURING PRODUCTION
---------------------------------

NBER SERIES:  01007
AREA COVERED:  U.S.
UNITS:  1923-1925=100
ANNUAL COVERAGE:  1920-1939
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  FEDERAL RESERVE BOARD, FEDERAL RESERVE BULLETIN,
AUGUST 1940, P. 807.

NOTES:  SERIES 01007 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1863-1930  (2)--ORIGINAL
DATA, 1920-1939.

NOT CHECKED AGAINST ORIGINALS.


",01
a01008a,U.S. Index of Total Physical Production 1863-1921,"VAR 0007      01008 PHY PRO 1R 863-921               MD= 1E-37
REF 0007         LOC   24 WIDTH  9             DK   1 COL 26-34
EXP DEC=  1

INDEX OF TOTAL PHYSICAL PRODUCTION
----------------------------------

NBER SERIES:  01008
AREA COVERED:  U.S.
UNITS:  1909-1913=100
ANNUAL COVERAGE:  1863-1921
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  WARREN M. PERSONS, FORECASTING BUSINESS CYCLES,
1931, PP. 170-171.

NOTES:  SERIES 01008 IS PRESENTED HERE AS TWO
VARIABLES-(1)--ORIGINAL DATA DATA, 1863-1921  (2)--ORIGINAL
DATA, 1921-1932.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008aa,Germany Index of Industrial Production 1860-1913,"VAR 0029      01008A ITRIAL 1R 860-913               MD= 1E-37
REF 0029         LOC  222 WIDTH  9             DK   4 COL 35-43
EXP DEC=  1

INDEX OF INDUSTRIAL PRODUCTION
------------------------------

NBER SERIES:  01008A
AREA COVERED:  GERMANY
UNITS:  1913=100
ANNUAL COVERAGE:  1860-1913
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  VIERTELJAHRSHEFTE ZUR KONJUNKTURFORSCHUNG,
SONDERHEFT 31, P. 58.

NOTES:  SERIES 01008A IS PRESENTED HERE AS FIVE
VARIBLES--(1)--ORIGINAL DATA, 1860-1913  (2)--ORIGINAL DATA,
1913-1931  (3)--ORIGINAL DATA, 1925-1937  (4)--ORIGINAL
DATA, 1919-1931  (5)--ORIGINAL DATA, 1925-1937.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008ab,Germany Index of Production 1913-1931,"VAR 0030      01008A ITRIAL 1R 913-931               MD= 1E-37
REF 0030         LOC  231 WIDTH  9             DK   4 COL 44-52


INDEX OF PRODUCTION
-------------------

NBER SERIES:  01008A
AREA COVERED:  GERMANY
UNITS:  1913=100
ANNUAL COVERAGE:  1913-1931
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  INSTITUT FUR KONJUNKTURFORSCHUNG, COMPUTED FROM
DATA IN VIERTELJAHRSHEFTE ZUR KONJUNKURFORSCHUNG, SONDERHEFT
31, PP. 23, 28, 64; WOCHENBERICHT, JUNE 19, 1935, P. 97.

NOTES:  SERIES 01008A IS PRESENTED HERE AS FIVE
VARIBLES--(1)--ORIGINAL DATA, 1860-1913  (2)--ORIGINAL DATA,
1913-1931  (3)--ORIGINAL DATA, 1925-1937  (4)--ORIGINAL
DATA, 1919-1931  (5)--ORIGINAL DATA, 1925-1937.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008ac,Germany Index of Production 1925-1937,"VAR 0031      01008A ITRIAL 1R 925-937               MD= 1E-37
REF 0031         LOC  240 WIDTH  9             DK   4 COL 53-61


INDEX OF PRODUCTION
-------------------

NBER SERIES:  01008A
AREA COVERED:  GERMANY
UNITS:  1913=100
ANNUAL COVERAGE:  1925-1937
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  INSTITUT FUR KONJUNKTURFORSCHUNG, COMPUTED FROM
DATA IN VIERTELJAHRSHEFTE ZUR KONJUNKURFORSCHUNG, SONDERHEFT
31, PP. 23, 28, 64; WOCHENBERICHT, JUNE 19, 1935, P. 97.

NOTES:  SERIES 01008A IS PRESENTED HERE AS FIVE
VARIBLES--(1)--ORIGINAL DATA, 1860-1913  (2)--ORIGINAL DATA,
1913-1931  (3)--ORIGINAL DATA, 1925-1937  (4)--ORIGINAL
DATA, 1919-1931  (5)--ORIGINAL DATA, 1925-1937.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
