,author,album,title,lyrics
0,Joaquín Sabina,Inventario,1968,"[Letra de ""1968""]

Aquel año mayo duró doce meses
Tú y yo acabábamos de nacer
Y un señor muy serio moría del disgusto
En la primera página del ABC
Los claveles mordían a los magistrados
París era un barrio con acordeón
Marx prohibió a sus hijos que llegaran tarde
A la dulce hoguera de la insurrección

La poesía salió a la calle
Reconocimos nuestros rostros
Supimos que todo es posible
En 1968

¿Jean Paul Sartre y Dilan? cantaban a dúo
Jugaban al corro Lenin y Rambo
Los relojes marcaban 40 de fiebre
Se hablaba de sexo en la empresa Renault
Dos y dos ya nunca más sumaron cuatro
Sufrió mal de amores hasta De Gaulle
En medio de Praga crecían amapolas
Como un reto rojo al gris hormigón

La poesía salió a la calle
Reconocimos nuestros rostros
Supimos que todo es posible
En 1968

Pero no pudimos reinventar la historia
Mascaba la muerte chicle en Vietnam
Pisaban los tanques las flores de Praga
En México lindo tiraban a dar
Mientras Ché cavaba su tumba en Bolivia
Cantaba Massiel en Eurovisión
Y mi padre llegaba puntual al trabajo
Con el cuello blanco y el traje marrón

Si ahora encuentro a aquel amigo
Leo en el fondo de sus ojos
Que ya se secaron las flores de
De 1968

Los cuadros hicieron huelga en los museos
París era rojo, San Francisco azul
Un vagabundo fue elegido alcalde
Y la sorbona estaba en Catmandú
Sobreviva imbécil, es el roco la muerte
Beba Cola-Cola, cante esta canción
Que la primavera va a durar muy poco
Que mañana es lunes y anoche llovió

Si ahora encuentro a aquel amigo
Leo en el fondo de sus ojos
Que ya se secaron las flores de
De 1968"
1,Joaquín Sabina,19 días y 500 noches,19 días y 500 noches,"Lo nuestro duró
Lo que duran dos peces de hielo
En un güisqui on the rocks
En vez de fingir
O, estrellarme una copa de celos
Le dio por reír
De pronto me vi
Como un perro de nadie
Ladrando, a las puertas del cielo
Me dejó un neceser con agravios
La miel en los labios
Y escarcha en el pelo
Tenían razón
Mis amantes
En eso de que, antes
El malo era yo
Con una excepción:
Esta vez
Yo quería quererla querer
Y ella no
Así que se fue
Me dejó el corazón
En los huesos
Y yo de rodillas
Desde el taxi
Y, haciendo un exceso
Me tiró dos besos...
Uno por mejilla
Y regresé
A la maldición
Del cajón sin su ropa
A la perdición
De los bares de copas
A las cenicientas
De saldo y esquina
Y, por esas ventas
Del fino Laina
Pagando las cuentas
De gente sin alma
Que pierde la calma
Con la cocaína
Volviéndome loco
Derrochando
La bolsa y la vida
La fuí, poco a poco
Dando por perdida
Y eso que yo
Para no agobiar con
Flores a María
Para no asediarla
Con mi antología
De sábanas frías
Y alcobas vacías
Para no comprarla
Con bisutería
Ni ser el fantoche
Que va, en romería
Con la cofradía
Del Santo Reproche
Tanto la quería
Que, tardé, en aprender
A olvidarla, diecinueve días
Y quinientas noches
Dijo hola y adiós
Y, el portazo, sonó
Como un signo de interrogación
Sospecho que, así
Se vengaba, a través del olvido
Cupido de mi
No pido perdón
¿para qué? si me va a perdonar
Porque ya no le importa...
Siempre tuvo la frente muy alta
La lengua muy larga
Y la falda muy corta
Me abandonó
Como se abandonan
Los zapatos viejos
Destrozó el cristal
De mis gafas de lejos
Sacó del espejo
Su vivo retrato
Y, fui, tan torero
Por los callejones
Del juego y el vino
Que, ayer, el portero
Me echó del casino
De Torrelodones
Qué pena tan grande
Negaría el Santo Sacramento
En el mismo momento
Que ella me lo mande
Y eso que yo
Para no agobiar con
Flores a María
Para no asediarla
Con mi antología
De sábanas frías
Y alcobas vacías
Para no comprarla
Con bisutería
Ni ser el fantoche
Que va, en romería
Con la cofradía
Del Santo Reproche
Tanto la quería
Que, tardé, en aprender
A olvidarla, diecinueve días
Y quinientas noches

Y regresé..."
2,Joaquín Sabina,500 Noches para una Crisis (En Directo),19 Días y 500 Noches (Directo),
3,Joaquín Sabina,Inventario,40 Orsett Terrace,"[Letra de ""40 Orsett Terrace""]

Me levanto, bostezo, vivo, almuerzo
Me lavo, sirvo, invento, disimulo
Salgo a la calle, fumo, estoy contento
Busco piso, hago gárgaras, calculo
Me emborracho, trasnocho, llego tarde
Duermo de lado, hablo conmigo, yo
Leo un libro, envejezco, voy al baile
Sudo tinta, suspiro, me enamoro
Llueve, me abrazan, no doy pie con bola
Anochece, me compro una camisa
Este verso no pega ni con cola
De consejos, me rasco, tengo prisa

Tengo un grano, discuto, me equivoco
Busco a tientas, no encuentro, me fatigo
Me olvido de quien soy, me vuelvo loco
Hace frío, amanece, sumo y sigo
Escupo, voy al cine, me cabreo
Escribo, me suicido, resucito
Afirmo, niego, grito, dudo, creo
Odio, amo, acaricio, necesito
Te recuerdo, te busco, te maldigo
Digo tu nombre a voces, no te veo
Te amo, ya no se lo que me digo
Te deseo, te deseo, te deseo

Te deseo"
4,Joaquín Sabina,Dímelo en la calle,69 punto G,
5,Joaquín Sabina,Joaquín Sabina y Viceversa,"Adiós, Adiós","No soy un tipo complicado
De delicado paladar
Cualquier mujer es mi mujer
Cualquier cuarto de hotel mi hogar
Puedo dormir en cualquier lado
A veces solo a veces no
A veces pongo, reservado
El derecho de admisión
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación
Cuando unos labios amenazan
Con devorarme el corazón
Enciendo la señal de alarma
Y escapo en otra dirección
Pasé dos noches en Sodoma
Vivi en Gomorra de pensión
Cuando escapé del paraíso
Satanás me recogió
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación
Si nos cruzamos por la vida
No me preguntes dónde voy
Mira mis ojos y adivina
Lo que busco y lo que soy
No importa que cierres la puerta
Me gusta entrar por el balcón
Al día siguiente dejo el hueco
De mi huida en tu colchón
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación
Y digo adiós, adiós, adiós
Cierro la maleta y pido
Un taxi para la estación"
6,Joaquín Sabina,La mandrágora,"Adivina, Adivinanza",
7,Joaquín Sabina,Vinagre y rosas,Agua pasada,"Lo peor del amor cuando termina
Son las habitaciones ventiladas
El solo de pijamas con sordina
La adrenalina en camas separadas

Lo malo del después son los despojos
Que embalsaman los pájaros del sueño
Los móviles que insultan con los ojos
El sistole sin diástole ni dueño

Lo atroz es no querer saber quién eres
Agua pasada, tierra quemada
Que de igual esperarte o que me esperes
Que no seas tú entre todas las mujeres
Que la cuenta está saldada

Las canciones de amor que no quisiste
Andan rodando ya por las aceras
Las tocan las orquestas de los tristes
Pa que baile don nadie con cualquiera

Las maletas que llegan sin tu ropa
Giran perdidas por los aeropuertos
La pasión cuando pasa es una coopa
De sangre desangrada en el mar muerto

Remendar las virtudes veniales
Condenar a galeras los archivos
Cuando al punto final de los finales
No le siguen dos puntos suspensivos

Peor es no saber quién quién eres
Agua pasada, tierra quemada
Que de igual esperarte o que me esperes
Que no seas tú entre todas las mujeres
Que la cuenta está saldada"
8,Joaquín Sabina,19 días y 500 noches,Ahora que...,"[Letra de ""Ahora que...""]

Ahora que nos besamos tan despacio
Ahora que aprendo bailes de salón
Ahora que una pensión es un palacio
Donde nunca falta espacio
Para más de un corazón...

Ahora que las floristas me saludan
Ahora que me doctoro en lencería
Ahora que te desnudo y me desnudas
Y, en la estación de las dudas
Muere un tren de cercanías...

Ahora que nos quedamos en la cama
Lunes, martes y fiestas de guardar
Ahora que no me acuerdo del pijama
Ni recorto el crucigrama
Ni me mato si te vas

Ahora que tengo un alma
Que no tenía
Ahora que suenan palmas
Por alegrías
Ahora que nada es sagrado
Ni, sobre mojado
Llueve todavía
Ahora que hacemos olas
Por incordiar
Ahora que está tan sola
La soledad
Ahora que, todos los cuentos
Parecen el cuento
De nunca empezar

Ahora que ponnos otra y qué se debe
Ahora que el mundo está recién pintado
Ahora que las tormentas son tan breves
Y los duelos no se atreven
A dolernos demasiado...

Ahora que está tan lejos el olvido
Ahora que me perfumo cada día
Ahora que, sin saber, hemos sabido
Querernos, como es debido
Sin querernos todavía...

Ahora que se atropellan las semanas
Fugaces, como estrellas de Bagdad
Ahora que, casi siempre, tengo ganas
De trepar a tu ventana
Y quitarme el antifaz

Ahora que los sentidos
Sienten sin miedo
Ahora que me despido
Pero me quedo
Ahora que tocan los ojos
Que miran las bocas
Que gritan los dedos
Ahora que no hay vacunas
Ni letanías
Ahora que está en la luna
La policía
Ahora que explotan los coches
Que sueño de noche
Que duermo de día
Ahora que no te escribo
Cuando me voy
Ahora que estoy más vivo
De lo que estoy
Ahora que nada es urgente
Que todo es presente
Que hay pan para hoy
Ahora que no te pido
Lo que me das
Ahora que no me mido
Con los demás
Ahora que, todos los cuentos
Parecen el cuento
De nunca empezar"
9,Joaquín Sabina,500 Noches para una Crisis (En Directo),Ahora Que... (Directo),"[Letra de ""Ahora que... (Directo)""]

Ahora que nos besamos tan despacio
Ahora que aprendo bailes de salón
Ahora que una pensión es un palacio
Donde nunca falta espacio
Para más de un corazón...

Ahora que las floristas me saludan
Ahora que me doctoro en lencería
Ahora que te desnudo y me desnudas
Y, en la estación de las dudas
Muere un tren de cercanías...

Ahora que nos quedamos en la cama
Lunes, martes y fiestas de guardar
Ahora que no me acuerdo del pijama
Ni recorto el crucigrama
Ni me mato si te vas

Ahora que tengo un alma
Que no tenía
Ahora que suenan palmas
Por alegrías
Ahora que nada es sagrado
Ni, sobre mojado
Llueve todavía
Ahora que hacemos olas
Por incordiar
Ahora que está tan sola
La soledad
Ahora que, todos los cuentos
Parecen el cuento
De nunca empezar

Ahora que ponnos otra y qué se debe
Ahora que el mundo está recién pintado
Ahora que las tormentas son tan breves
Y los duelos no se atreven
A dolernos demasiado...

Ahora que está tan lejos el olvido
Ahora que me perfumo cada día
Ahora que, sin saber, hemos sabido
Querernos, como es debido
Sin querernos todavía...

Ahora que se atropellan las semanas
Fugaces, como estrellas de Bagdad
Ahora que, casi siempre, tengo ganas
De trepar a tu ventana
Y quitarme el antifaz

Ahora que los sentidos
Sienten sin miedo
Ahora que me despido
Pero me quedo
Ahora que tocan los ojos
Que miran las bocas
Que gritan los dedos
Ahora que no hay vacunas
Ni letanías
Ahora que está en la luna
La policía
Ahora que explotan los coches
Que sueño de noche
Que duermo de día
Ahora que no te escribo
Cuando me voy
Ahora que estoy más vivo
De lo que estoy
Ahora que nada es urgente
Que todo es presente
Que hay pan para hoy
Ahora que no te pido
Lo que me das
Ahora que no me mido
Con los demás
Ahora que, todos los cuentos
Parecen el cuento
De nunca empezar"
